,rolling_1yr_return,rolling_1yr_volatility,rolling_30d_volatility,latest_close_price,avg_30d_volume
KO,0.13324680584767123,0.1318873044063926,0.11955359898213397,76.72000122070312,17074206.666666668
NDSN,0.20359445162687306,0.17068283188684175,0.2218758845126979,263.1000061035156,368280.0
KEYS,0.7497146024276371,0.35522334727181903,0.4004351016432512,291.239990234375,1901003.3333333333
SPGI,-0.18914531189917294,0.24753170884511227,0.22177293976648593,431.1600036621094,2321476.6666666665
VLTO,-0.1445690634791298,0.17438878269749614,0.16225271195578767,88.01000213623047,2026740.0
WDAY,-0.45288329816565676,0.32136921529168466,0.33188774567114926,132.25999450683594,5978090.0
TXT,0.10831386411007138,0.19770348318933464,0.19341579010438534,88.05000305175781,1538380.0
LITE,6.91121346575039,0.7534522555619916,1.0499460933466966,826.8800048828125,7002290.0
TROW,-0.12314877465382268,0.20800729540606794,0.1537779399830659,90.16999816894531,2587520.0
VMC,0.023744314970636005,0.21033991488510181,0.24726414133352867,279.8800048828125,1523233.3333333333
SATS,3.337040523926232,0.8773118879972492,0.5187016835637988,128.67999267578125,7238646.666666667
WAT,0.004258055703467711,0.27567952913263843,0.2722360059504528,304.239990234375,1140973.3333333333
STLD,0.39068039621999606,0.27961728030082167,0.3217819296324204,180.1999969482422,1215203.3333333333
VST,-0.21040319538738028,0.4218721092490826,0.5041231004161895,151.17999267578125,4699900.0
ADI,0.41222026670276857,0.24377463201401195,0.2949642106876018,318.3399963378906,4019246.6666666665
LIN,0.07373769036954414,0.14342259966637957,0.16826438315731093,502.6000061035156,2799066.6666666665
PKG,0.0077547416849743644,0.21460584879582498,0.2423981518727517,204.4600067138672,1106973.3333333333
DUK,0.13122604351107392,0.11910155117778026,0.12943584770082184,132.22000122070312,4724590.0
PEG,-0.04320486384711131,0.15512778858707957,0.1617414172578559,81.81999969482422,2961530.0
AXP,-0.02903421543830287,0.2251094798286462,0.1723680489716943,300.17999267578125,4288436.666666667
DASH,-0.37399968752207513,0.3732521205663738,0.3479554655740133,156.4499969482422,4626220.0
TTD,-0.7440213676190213,0.5666531997550083,0.6953687965115223,22.049999237060547,23490250.0
ADP,-0.32572801207456314,0.18118547041459324,0.21267795140603574,204.00999450683594,4202573.333333333
CCL,-0.13416738589959942,0.3750229201598752,0.5009320611469871,25.639999389648438,28914580.0
HAS,0.2327736460872174,0.2180119368370059,0.24906326147140057,90.16000366210938,1669133.3333333333
FRT,0.17140752727460806,0.14396884247666128,0.1588892971023422,106.79000091552734,836173.3333333334
ROST,0.6015443541058725,0.19172206048133106,0.2868299975181197,219.97999572753906,2909180.0
TMO,0.03018421075526123,0.2232757048779783,0.25303554994078475,491.4599914550781,1998453.3333333333
TLT,0.03813044988783898,0.08080923800534241,0.10916045875254661,86.79000091552734,44656040.0
IR,-0.11672825257450314,0.27822150621231556,0.29588999505333496,77.91000366210938,3173480.0
TMUS,-0.16202920865266057,0.19047594963902634,0.1857197717762753,201.39999389648438,5636333.333333333
OXY,0.4309262371890503,0.2716774641108307,0.31206585320837676,62.970001220703125,20805960.0
XYL,-0.07706375126314546,0.2102171120547241,0.2039044198218004,121.26000213623047,1970093.3333333333
VWO,0.08502417784669847,0.13007274157612903,0.21399482513637436,53.81999969482422,13558943.333333334
PLTR,-0.0651133258134794,0.4179840082635495,0.4269920172880797,148.4600067138672,47678553.333333336
MSFT,-0.2687908385430522,0.2039555938866843,0.18613564042578262,373.4599914550781,34644716.666666664
UPS,-0.003549347333734576,0.23912700423469752,0.2621755760358266,98.18000030517578,6752420.0
SBUX,-0.023360165352164897,0.2404815224969525,0.2962577805304176,90.37000274658203,8259933.333333333
CRM,-0.30211211443446406,0.2954481433795133,0.32511131684704875,187.17999267578125,13976966.666666666
NWS,-0.15996237603694174,0.21831868317911707,0.1819870265251474,28.110000610351562,1839980.0
BX,-0.3482281004810668,0.27415656628012597,0.34529886997784487,113.05000305175781,11099666.666666666
BDX,0.07894099773918173,0.20948472268542273,0.15949123699563234,154.50999450683594,2616276.6666666665
INTU,-0.460485184433468,0.30712049824659965,0.37288472207630363,422.4800109863281,4172346.6666666665
AEE,0.139441393435477,0.12442937987034028,0.1527348806099334,111.68000030517578,1737933.3333333333
NTRS,0.11363814599028865,0.1969792918705055,0.2067716652252446,142.25,1077530.0
ED,0.15661354782079817,0.1365172710164861,0.14545195020951635,115.43000030517578,2507083.3333333335
REGN,0.35834233297770046,0.27409142548770693,0.2499351991160482,761.8499755859375,630403.3333333334
RJF,-0.14774837192122303,0.207208247452217,0.18457254533708242,142.1999969482422,1361760.0
CSX,0.16539434605179393,0.18264382112296162,0.24643752724338233,41.220001220703125,13303810.0
CVNA,-0.05482955474768325,0.5286416769561992,0.5329241398565113,313.9100036621094,3188420.0
SHOP,-0.049666481475679314,0.47073915795118787,0.4438874948138497,118.25,9369680.0
USB,0.17861367498477754,0.18519599570922637,0.16420633236291202,52.95000076293945,10663970.0
JBL,0.20799738463989348,0.3454865082610648,0.4704397581190903,268.54998779296875,1288643.3333333333
IT,-0.5573968157804213,0.4722011812388925,0.3636960582684782,157.85000610351562,1580523.3333333333
APP,0.06104789249874698,0.624247093709325,0.6246703120523436,386.3699951171875,5141130.0
GE,0.039198888459260006,0.24368019535007487,0.3464822064397184,281.1600036621094,5617266.666666667
GOOGL,0.5345103655307213,0.23826355803668334,0.2823700066934594,295.7699890136719,31721720.0
XOM,0.4917964849150984,0.18909124901338178,0.24273960998266947,160.69000244140625,24353750.0
BLK,-0.12641303119822844,0.21067719539585605,0.30420538699529026,966.5599975585938,938226.6666666666
CAT,0.6621636684083818,0.2871047983346531,0.3444089980875082,717.219970703125,2677030.0
O,0.11935598918036794,0.12782523061378726,0.13323928656712733,62.209999084472656,6501026.666666667
IBM,-0.02723057027313114,0.2855415476764452,0.2537778891494261,248.16000366210938,6359316.666666667
INVH,-0.1723331934689275,0.1809648358302428,0.18716609352137586,25.549999237060547,7353476.666666667
VZ,0.18665251715411535,0.1936698118741296,0.12199182010147433,49.400001525878906,26913786.666666668
TT,-0.09107465438314799,0.23541396823427244,0.30205983215678484,427.07000732421875,1344056.6666666667
ABT,-0.1793041548399097,0.18079642308998345,0.17651848336665896,102.87000274658203,11240406.666666666
STZ,-0.12104916240136243,0.23848467747093827,0.16537313323090405,151.1999969482422,1845770.0
FFIV,0.01329462221078681,0.2905312259571527,0.2757958971423758,303.3500061035156,743483.3333333334
ALGN,-0.17007195889420545,0.48397514002323194,0.3816652530903841,170.60000610351562,1318640.0
AEP,0.23777013315830087,0.14955294948909204,0.14540819572712615,132.67999267578125,3740263.3333333335
L,0.17702206199653436,0.12119817994209735,0.13442814573213316,107.69000244140625,686540.0
COO,-0.05925725145397298,0.260437164143035,0.24216757374301492,70.16999816894531,2120116.6666666665
TPL,0.36733407795243345,0.38222355766914773,0.39395779708325585,444.239990234375,587800.0
MGM,-0.04578559792950454,0.3102446380806604,0.33927599446277273,36.68000030517578,4942726.666666667
GOOG,0.5206266538267603,0.23280877700665797,0.2655419448033838,294.4599914550781,21235806.666666668
UHS,0.13889551374807718,0.25214621778227014,0.17065765425502402,176.6999969482422,843950.0
LOW,0.028256370327031766,0.20843119597821133,0.24391181557725475,231.02999877929688,2876066.6666666665
NOW,-0.47357011161648765,0.3247600682710205,0.3893866242012121,102.0,17230073.333333332
ADSK,-0.21498284493099584,0.2510675857235816,0.24025653105440553,238.0800018310547,2221513.3333333335
LULU,-0.2903431325781103,0.3725833139804543,0.3234698320829457,155.72000122070312,2919030.0
EXPD,0.25602669571518,0.2643219322098542,0.1788578172697642,145.80999755859375,1472090.0
IDXX,0.0077141940457705616,0.38969870145029806,0.25049355644260085,569.5499877929688,533373.3333333334
ROP,-0.36200796403876456,0.21496947724642854,0.16820939458344508,357.8800048828125,1482436.6666666667
KLAC,0.6901529583331378,0.3987856561677746,0.4617029482352043,1516.8399658203125,996906.6666666666
DG,0.12474941465887257,0.2946370453301207,0.3209493685454986,119.73999786376953,3477106.6666666665
AVGO,0.09019944485066356,0.3723697541510683,0.36617146508498555,314.54998779296875,27388920.0
GL,0.06188918641363106,0.16499677957023162,0.15706322381813445,142.60000610351562,504430.0
EME,0.1920639822372041,0.34537151194461096,0.34261131285827523,756.2999877929688,402936.6666666667
PAYX,-0.3678690089619502,0.20240121430671607,0.2562597840139678,91.69999694824219,4613010.0
ARM,-0.08616778645812151,0.4537752207542298,0.7176960879437999,149.11000061035156,6626006.666666667
STE,-0.04609286762138265,0.20660742779590224,0.21223846716083097,218.7100067138672,917320.0
MPWR,0.5735721718259126,0.38609637243875294,0.4508884802499256,1118.489990234375,552493.3333333334
AMZN,-0.09363116980795705,0.2636030388410288,0.27780749826121953,209.77000427246094,46461956.666666664
VXUS,0.12617165628909333,0.1226936351994918,0.22287924462887182,77.4800033569336,9509980.0
DHI,-0.03050336977748036,0.28618921754389565,0.2654838265023577,139.69000244140625,2634816.6666666665
JCI,0.1937697221923509,0.23363647182355968,0.3009002715482365,132.97000122070312,4232753.333333333
MRVL,0.44533134955033393,0.5002781777440487,0.7899658618732901,107.11000061035156,22705776.666666668
EW,0.013125038146972745,0.19775444431114605,0.228495021396811,81.05000305175781,4694430.0
HOOD,-0.3428707436473193,0.5659838446940213,0.5181709192190105,68.9000015258789,27191290.0
GIS,-0.2476340315354062,0.19855993157047944,0.22093111569836327,37.41999816894531,9596613.333333334
CHTR,-0.29042778600118546,0.34078134558336426,0.29788469795764866,219.7899932861328,1639486.6666666667
PFG,0.14339109903284708,0.18969554445718823,0.1744781244644416,90.0999984741211,1821450.0
WM,0.036970659518954285,0.1571313578107279,0.18106376251413125,235.4199981689453,2209576.6666666665
CTRA,0.4993334693701248,0.2322492997380595,0.2529469417049224,34.560001373291016,10834200.0
IEX,0.03391064082183126,0.22515775765792187,0.22879244024930998,190.47000122070312,814016.6666666666
MCD,0.04691636341621508,0.13323229824404056,0.14120684631046368,307.1400146484375,3247293.3333333335
