Date,VOO,QQQ,VTI,VXUS,VGT,ARKK,VNQ,VWO,AAPL,NVDA,BND,SGOV,TLT,TIPS
2016-04-04,160.0233612060547,102.42894744873047,89.23707580566406,32.70926284790039,100.20960998535156,18.018415451049805,56.20564270019531,25.555627822875977,25.166505813598633,0.8763883709907532,61.77663040161133,,99.2877426147461,9.999999747378752e-06
2016-04-05,158.39920043945312,101.4413833618164,88.37055206298828,32.14047622680664,99.16897583007812,17.898473739624023,55.83572006225586,25.07753562927246,24.869815826416016,0.8751643896102905,61.888648986816406,,100.3735580444336,9.999999747378752e-06
2016-04-06,160.12486267089844,103.10907745361328,89.33904266357422,32.635398864746094,100.2552490234375,17.975053787231445,55.970237731933594,25.39875602722168,25.13027000427246,0.8763883709907532,61.8587646484375,,99.64460754394531,0.0010000000474974513
2016-04-07,158.238525390625,101.62774658203125,88.26859283447266,32.13309097290039,98.81298828125,17.990739822387695,55.62049102783203,24.868370056152344,24.582191467285156,0.8673307299613953,62.06038284301758,,100.87470245361328,0.0010000000474974513
2016-04-08,158.6698760986328,101.55317687988281,88.52348327636719,32.79052734375,98.84040069580078,17.889251708984375,55.929893493652344,25.301639556884766,24.609373092651367,0.8729611039161682,62.00812530517578,,100.23684692382812,0.0010000000474974513
2016-04-09,158.6698760986328,101.55317687988281,88.52348327636719,32.79052734375,98.84040069580078,17.889251708984375,55.929893493652344,25.301639556884766,24.609373092651367,0.8729611039161682,62.00812530517578,,100.23684692382812,0.0010000000474974513
2016-04-10,158.6698760986328,101.55317687988281,88.52348327636719,32.79052734375,98.84040069580078,17.889251708984375,55.929893493652344,25.301639556884766,24.609373092651367,0.8729611039161682,62.00812530517578,,100.23684692382812,0.0010000000474974513
2016-04-11,158.25543212890625,101.1805191040039,88.2771224975586,32.849613189697266,98.63955688476562,17.889251708984375,55.8155403137207,25.637800216674805,24.690902709960938,0.8783469200134277,62.00061798095703,,100.1077651977539,0.0010000000474974513
2016-04-12,159.7949981689453,102.0283432006836,89.1351318359375,33.396244049072266,99.09596252441406,17.981508255004883,56.21907424926758,26.033727645874023,25.01250648498535,0.877367377281189,61.903564453125,,99.41683959960938,0.0010000000474974513
2016-04-13,161.3937530517578,103.33269500732422,90.18009948730469,33.891170501708984,100.64774322509766,18.276742935180664,55.970237731933594,26.519285202026367,25.3748722076416,0.8993996977806091,61.94089889526367,,99.76606750488281,0.0010000000474974513
